Date,eindend,vindend
19760121,118.8769,90.02211
19760128,122.913696,90.535843
19760204,130.357101,94.052597
19760211,132.985199,93.419456
19760218,137.310303,92.912231
19760225,145.060898,95.017143
19760303,142.831894,93.408661
19760310,143.899902,94.2845
19760317,143.0215,94.156357
19760324,144.042206,96.308449
19760331,142.991501,95.727768
19760407,142.561401,95.269249
19760414,138.407104,93.312561
19760421,142.321198,96.112389
19760428,140.892593,95.052177
19760505,139.694397,94.077766
19760512,142.124603,96.126488
19760519,140.521194,94.782631
19760526,137.543304,93.183548
19760602,137.800705,93.908882
19760609,135.548798,92.728867
19760616,139.197403,95.737938
19760623,140.786499,96.956657
19760630,143.553696,98.188087
19760707,143.824295,97.799263
19760714,146.915497,99.71418
19760721,144.732498,97.78492
19760728,143.442596,97.132248
19760804,144.746902,98.405762
19760811,144.324203,98.344971
19760818,144.2052,98.83239
19760825,140.5177,96.656433
19760901,142.845001,98.418259
19760908,144.133606,99.328423
19760915,143.679199,98.847931
19760922,147.548401,101.7994
19760929,145.408295,99.968987
19761006,142.376495,97.744339
19761013,140.484207,96.873428
19761020,141.101593,96.576073
19761027,140.929199,96.596878
19761103,141.168503,96.831688
19761110,140.277298,94.587769
19761117,142.225906,96.311951
19761124,145.868698,98.44117
19761201,146.873901,98.567841
19761208,151.003098,100.261703
19761215,155.241592,101.620903
19761222,155.676895,101.364899
19761229,158.476196,102.939003
19770105,162.934402,101.966698
19770112,163.504395,100.794601
19770119,167.185806,101.598999
19770126,168.517197,100.615601
19770202,168.1091,100.5933
19770209,167.505493,99.348717
19770216,168.344406,100.089996
19770223,167.334,98.983109
19770302,166.713699,99.157028
19770309,167.584,99.023392
19770316,170.356293,100.958504
19770323,169.404495,99.259102
19770330,167.1203,97.630943
19770406,166.258896,97.0756
19770413,169.065994,99.22345
19770420,171.300903,99.696571
19770427,168.511398,97.432213
19770504,171.9104,99.533653
19770511,172.387802,98.923759
19770518,174.834305,100.425697
19770525,170.691696,97.356552
19770601,170.391998,97.436081
19770608,172.934006,98.821358
19770615,175.417404,100.309998
19770622,178.128494,101.420403
19770629,180.1492,101.355598
19770706,181.328598,100.991501
19770713,182.918198,101.191399
19770720,185.197693,103.159599
19770727,181.888504,100.160301
19770803,179.962296,99.802872
19770810,181.479599,100.584602
19770817,180.050201,99.557861
19770824,179.968796,99.079369
19770831,179.131805,98.738701
19770907,182.091202,100.030701
19770914,180.440506,98.64093
19770921,179.0755,97.426338
19770928,179.009293,97.57019
19771005,180.839005,98.123169
19771012,178.826706,96.503311
19771019,176.574997,94.809509
19771026,174.594894,94.319382
